id,BeatsPerMinute
524164,118.78267
524165,118.955215
524166,118.87349
524167,118.829956
524168,118.709816
524169,118.79762
524170,118.29536
524171,118.18528
524172,118.92747
524173,118.71925
524174,118.42932
524175,118.43187
524176,118.98307
524177,119.298
524178,118.35144
524179,118.9835
524180,118.35289
524181,119.11447
524182,119.340416
524183,118.43256
524184,122.36723
524185,118.553314
524186,119.52573
524187,118.2087
524188,119.041046
524189,118.57559
524190,119.092674
524191,118.391174
524192,118.74333
524193,118.7362
524194,118.182465
524195,118.89135
524196,118.977974
524197,118.39122
524198,118.50225
524199,118.95128
524200,118.798645
524201,118.90984
524202,118.70135
524203,118.69301
524204,119.021774
524205,118.821846
524206,118.929405
524207,119.12258
524208,119.33792
524209,118.41485
524210,119.00713
524211,118.239006
524212,119.38323
524213,119.13094
524214,120.11015
524215,118.43031
524216,118.08384
524217,118.58003
524218,118.2855
524219,118.82388
524220,118.927635
524221,119.38606
524222,119.66502
524223,121.53217
524224,118.781075
524225,119.27923
524226,118.49352
524227,118.75971
524228,119.37725
524229,119.1239
524230,118.83989
524231,118.39159
524232,118.648285
524233,118.901924
524234,118.32105
524235,119.38222
524236,119.922676
524237,118.82798
524238,118.64522
524239,118.503654
524240,119.03584
524241,118.888664
524242,119.311035
524243,118.6157
524244,118.74811
524245,119.44337
524246,118.77849
524247,118.74743
524248,119.014435
524249,118.64064
524250,118.22061
524251,118.91142
524252,119.33616
524253,118.48798
524254,119.176506
524255,118.31868
524256,118.74499
524257,119.26712
524258,119.21401
524259,119.05306
524260,118.84197
524261,119.103294
524262,118.96411
524263,119.02144
524264,119.25417
524265,118.91232
524266,119.09745
524267,118.73973
524268,118.96702
524269,118.86385
524270,119.62134
524271,119.175514
524272,119.41144
524273,118.976814
524274,119.37133
524275,118.82103
524276,118.48161
524277,119.49026
524278,119.1534
524279,118.48921
524280,118.770966
524281,119.3369
524282,119.445404
524283,119.17383
524284,119.03492
524285,119.04222
524286,119.70648
524287,119.02235
524288,118.912315
524289,119.03355
524290,118.12863
524291,118.69883
524292,118.95952
524293,118.94109
524294,119.39416
524295,119.13317
524296,118.74612
524297,118.62866
524298,118.74591
524299,119.40118
524300,118.65831
524301,118.234695
524302,118.914085
524303,118.779
524304,118.83791
524305,119.5542
524306,119.0179
524307,119.40391
524308,118.91614
524309,118.72503
524310,118.705696
524311,118.89517
524312,118.761696
524313,118.94056
524314,119.25277
524315,118.72499
524316,118.4635
524317,119.21994
524318,118.82334
524319,119.058205
524320,118.4086
524321,118.53987
524322,119.2833
524323,118.96399
524324,118.30366
524325,119.69659
524326,118.30026
524327,118.8327
524328,118.917755
524329,119.00867
524330,118.83529
524331,118.63041
524332,118.581635
524333,118.652435
524334,118.777695
524335,118.56727
524336,118.5786
524337,118.94016
524338,118.99891
524339,119.0237
524340,117.77872
524341,119.239845
524342,119.066696
524343,119.21188
524344,119.44377
524345,118.754105
524346,119.36421
524347,118.64731
524348,118.76712
524349,117.72512
524350,118.12757
524351,118.71048
524352,119.17934
524353,118.345245
524354,119.68061
524355,118.954895
524356,118.855965
524357,119.07364
524358,119.12855
524359,119.06823
524360,118.63619
524361,119.32191
524362,118.61173
524363,119.38224
524364,118.74439
524365,119.082146
524366,118.453514
524367,119.06416
524368,118.947296
524369,118.74118
524370,118.324326
524371,118.794624
524372,119.55641
524373,118.93629
524374,119.20293
524375,119.03048
524376,118.675354
524377,118.80023
524378,118.73991
524379,120.19784
524380,118.95207
524381,119.07526
524382,118.57494
524383,119.43077
524384,118.88085
524385,118.9298
524386,118.858475
524387,118.7583
524388,118.44102
524389,118.19387
524390,118.39518
524391,119.104836
524392,118.419174
524393,118.88425
524394,118.87247
524395,118.87608
524396,118.209625
524397,118.67187
524398,118.37014
524399,119.259285
524400,118.45573
524401,119.08965
524402,117.94947
524403,118.642654
524404,119.04731
524405,115.92701
524406,120.63453
524407,119.3273
524408,117.713
524409,119.36956
524410,118.42342
524411,120.296165
524412,118.43511
524413,119.00675
524414,118.54515
524415,119.0829
524416,120.22305
524417,119.154594
524418,118.827324
524419,119.02395
524420,118.73886
524421,118.72126
524422,118.85534
524423,118.93511
524424,118.47899
524425,118.98356
524426,118.70009
524427,118.18992
524428,118.62314
524429,118.945274
524430,118.8218
524431,118.59211
524432,118.649124
524433,119.04378
524434,119.2308
524435,118.74156
524436,119.276024
524437,118.55271
524438,118.43382
524439,118.7
524440,119.26374
524441,119.21489
524442,119.258286
524443,118.86716
524444,119.569176
524445,117.65096
524446,119.14323
524447,119.01569
524448,118.747116
524449,119.22299
524450,118.8054
524451,118.382774
524452,120.00142
524453,119.18872
524454,120.35898
524455,118.79321
524456,119.12763
524457,119.69099
524458,118.61585
524459,118.60621
524460,118.959404
524461,119.692986
524462,118.74132
524463,119.12143
524464,118.29601
524465,118.939896
524466,119.59462
524467,118.69413
524468,118.89725
524469,119.56832
524470,119.580734
524471,118.786064
524472,118.807945
524473,118.574646
524474,118.871376
524475,118.85981
524476,118.74605
524477,120.29397
524478,119.07556
524479,118.82487
524480,118.9589
524481,118.917336
524482,118.65959
524483,118.7117
524484,119.0212
524485,118.61737
524486,119.00765
524487,118.73669
524488,117.866425
524489,118.96842
524490,118.99528
524491,119.59191
524492,119.19195
524493,118.90271
524494,118.60823
524495,118.45194
524496,118.286545
524497,119.33249
524498,119.25276
524499,118.39
524500,119.19998
524501,119.12466
524502,118.79462
524503,118.89709
524504,119.86611
524505,118.87809
524506,118.834656
524507,118.955284
524508,117.96875
524509,118.68375
524510,119.06018
524511,119.05658
524512,118.55117
524513,118.60705
524514,118.7786
524515,118.63353
524516,119.25877
524517,118.77502
524518,118.68833
524519,118.59245
524520,119.37176
524521,119.30423
524522,118.89858
524523,119.07925
524524,118.30066
524525,119.59648
524526,120.046036
524527,119.209496
524528,119.49526
524529,119.145676
524530,118.53619
524531,118.48013
524532,119.58133
524533,118.35369
524534,119.45563
524535,118.97754
524536,118.983284
524537,118.81691
524538,118.54384
524539,118.89636
524540,118.65858
524541,118.835846
524542,117.28871
524543,119.048904
524544,118.95173
524545,118.40896
524546,119.02303
524547,118.25633
524548,119.17296
524549,119.915726
524550,118.8562
524551,118.29429
524552,119.53688
524553,118.8954
